Nombre; bio; línea
Oliverio Cromwell; Refiere a Oliver Cromwell (Huntingdon, Inglaterra, 25/04/1599-Londres, 03/09/1658), líder político y militar inglés. Convirtió a Inglaterra en una república denominada Mancomunidad de Inglaterra (en inglés, Commonwealth of England).; 57
Almirante Blake; Robert Blake (Bridgwater, 27 de septiembre de 1598-7 de agosto de 1657), fue un comandante de la Commonwealth de Inglaterra y uno de los almirantes ingleses más famosos del siglo XVII.; 58
